#TYPE System.Management.Automation.PSCustomObject
"Count","Computer"
"0","LBITL-19WL53659"
"0","LBITL-20WL53573"
"0","LBITL-21WL53593"
"0","LBITL-22WL53572"
"0","LBITL-23WL53581"
"0","LBITL-24WL53617"
"0","LBITL-25WL53661"
"0","LBITL-26WL53569"
"0","LBITL-27WL53604"
"0","LBITL-28WL53622"
"0","LBITL-30WL53589"
"0","LBITL-31WL53660"
"0","LBITL-32WL53588"
"0","LBITL-33WL53619"
"0","LBLTL-08WL54559"
"0","LBRFA-01WL53669"
"0","LBRFA-02WL53668"
"0","LBRFA-03WL53675"
"0","LBRFA-04WL53672"
"0","LBRFA-05WL53677"
"0","LBRFA-06WL53671"
"0","LBRFA-07WL53676"
"0","LBRFA-08WL53670"
"0","LBRFB-01WL53674"
"0","LBRFB-02WL53673"
"0","LBRFB-03WL53728"
"0","LBRFB-04WL53666"
"0","LBRFB-05WL53679"
"0","LBRFB-06WL53680"
"0","LBRFB-07WL53678"
"0","LBRFB-08WL53681"
"0","LBRFC-05WL53657"
"0","LBRFC-06WL53651"
"0","LBRFC-07WL53667"
"0","LBRFC-08WL53560"
"0","LBRFD-05WL53633"
"0","LBRFD-06WL53634"
"0","LBRFD-07WL53647"
"0","LBRFD-08WL53621"
"0","LBRFE-01WL53644"
"0","LBRFE-02WL53637"
"0","LBRFE-03WL53645"
"0","LBRFE-04WL53636"
"0","LBRFE-05WL53663"
"0","LBRFE-06WL53658"
"0","LBRFE-07WL53652"
"0","LBRFE-08WL53648"
"0","LRH1-01WL52781"
"0","LRH1-02WL52789"
"0","LRH1-03WL52794"
"0","LRH1-04WL52780"
"0","LRH1-05WL52785"
"0","LRH1-06WL52787"
"0","LRH1-07WL52782"
"0","LRH1-08WL52793"
"0","LRH1-09WL52619"
"0","LRH1-10WL52788"
"0","LRH1-11WL52778"
"0","LRH1-12WL52779"
"0","LRH1-13WL52783"
"0","LRH1-14WL52784"
"0","LRH1-15WL52786"
"0","LRH1-17WL52184"
"0","LRH1-18WL52805"
"0","LRH2-01WC52429"
"0","MAC117-02W51423"
"0","MAC164-01W17977"
"0","MAC164-02W17995"
"0","MH115-01WC56240"
"0","MH120-01WL52442"
"0","MH120-02WL54883"
"0","MH120-03WL54884"
"0","MH120-04WL54885"
"0","MH120-05WL54886"
"0","MH120-06SB54887"
"0","MH124-01WL54888"
"0","MH124-02WL54889"
"0","MH125-01WC52436"
"0","MH215-01WC52428"
"0","MH222-01WC52434"
"0","MH226-01WL55852"
"0","MH226-02WL55835"
"0","MH226-03WL55849"
"0","MH226-04WL55844"
"0","MH226-05WL55860"
"0","MH226-06WL55841"
"0","MH226-07WL55855"
"0","MH226-08WL55853"
"0","MH226-09WL55837"
"0","MH226-10WL55857"
"0","MH226-11WL55838"
"0","MH226-12WL55839"
"0","MH226-13WL55846"
"0","MH226-14WL55845"
"12","MH226-15WL55836"
"0","MH226-16WL55856"
"0","MH226-17WL55854"
"0","MH226-18WL55847"
"0","MH226-19WL55851"
"0","MH226-20WL55840"
"0","MH226-21WL55848"
"0","MH226-22WL55956"
"0","MH226-23WL55868"
"0","MH226-24WL55858"
"0","MH226-25WL55867"
"0","MH226-26WL55859"
"0","MH227-01WC52435"
"0","MH302-01WC52439"
"0","MH315-01WC52437"
"0","MH328-01WC52440"
"0","MH329-01WC52441"
"0","MH3FL-01WL50927"
"0","MHLL-01WL54877"
"0","MHLL-02WL54876"
"0","MHLL-03WL54878"
"0","MININT-LLR12LA"
"0","MP126-01WC54914"
"0","MP129-01WW54916"
"0","MP136-01WC52491"
"0","MP138-01WL52500"
"0","MP138-02WL52502"
"0","MP138-04WL52608"
"0","MP138-05WL52501"
"0","MP138-06WL52609"
"0","MP138-07WL52614"
"0","MP138-08WL52508"
"0","MP138-09WL52489"
"0","MP138-10WL52615"
"0","MP138-11WL52623"
"0","MP138-12WL52611"
"0","MP138-13WL52626"
"0","MP138-14WL52494"
"0","MP138-15WL52513"
"0","MP138-16WL52493"
